"ACCOUNT","CONTENT","REJECT_REASON"
"N6443661","【酷街】您的{$var}元借款已到期{$var}天，持续逾期将上报逾期信息至国家金融办，请立即登录酷街App还款<客服：4001518866>","具有威胁性质 不发"
"N9717459","【财知道】挂是咸的，想念是甜的，问候是粘的，祝福是绵的。重阳节感恩有奖正在进行详情戳 http://t.cn/Ezy7umH","营销发行业"
"N9717459","【财知道】挂是咸的，想念是甜的，问候是粘的，祝福是绵的。重阳节感恩有奖正在进行详情戳 http://t.cn/Ezy7umH","营销发行业"
"N9717459","【财知道】挂是咸的，想念是甜的，问候是粘的，祝福是绵的。重阳节感恩有奖正在进行详情戳 http://t.cn/Ezy7umH","营销发行业"
"N9717459","【财知道】挂是咸的，想念是甜的，问候是粘的，祝福是绵的。重阳节感恩有奖正在进行详情戳 http://t.cn/Ezy7umH","营销发行业"
"N9717459","【财知道】挂是咸的，想念是甜的，问候是粘的，祝福是绵的。重阳节感恩有奖正在进行详情戳 http://t.cn/Ezy7umH","营销发行业"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","不发"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
"N4212636","【花借】验证码：1500元，花借账本 APP  恢复放款！","行业发金融营销"
